player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Jørgen Strand Larsen,DT,celta,barcelona,1,84,0,0,0.3,0.0,3,2,1,18,72.2,1,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,1,1,14,58.0,24.0,1,2,2,50.0
Anastasios Douvikas,DT,celta,barcelona,0,6,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,5,19.0,7.0,0,2,0,100.0
Iago Aspas,DT,celta,barcelona,1,90,1,0,0.2,0.3,2,1,1,39,59.0,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,2,0,1,34,148.0,79.0,2,0,2,0.0
Luca de la Torre,MC,celta,barcelona,1,90,0,0,0.1,0.0,1,0,1,33,69.7,0,0,0.0,0.0,0.0,3,2,1,0,0,0,0,0,1,0,0,0,22,168.0,104.0,3,0,0,0.0
Renato Tapia,MC,celta,barcelona,1,90,0,0,0.0,0.0,1,1,0,36,63.9,0,0,0.0,0.0,0.0,2,1,1,0,0,5,1,4,3,0,0,0,16,93.0,30.0,0,2,1,66.7
Fran Beltrán,MC,celta,barcelona,1,90,0,0,0.0,0.0,0,0,0,46,84.8,0,0,0.0,0.0,0.0,0,5,5,0,1,3,0,3,0,0,0,0,19,76.0,47.0,2,0,0,0.0
Tadeo Allende,MC,celta,barcelona,1,76,0,0,0.0,0.0,2,2,0,20,60.0,1,0,0.0,0.0,0.0,3,2,2,0,0,0,0,0,0,0,0,0,13,96.0,55.0,2,2,1,66.7
Williot Swedberg,MC,celta,barcelona,0,14,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,1,0,4,15.0,1.0,0,0,1,0.0
Mihailo Ristić,DF,celta,barcelona,1,58,0,0,0.1,0.0,2,2,0,26,76.9,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,1,2,1,0,13,51.0,23.0,1,1,1,50.0
Manu Sánchez,DF,celta,barcelona,0,32,0,0,0.0,0.1,0,0,0,15,53.3,0,0,0.0,0.0,0.0,2,3,1,0,1,1,0,1,2,1,1,0,8,35.0,10.0,0,1,1,50.0
Carlos Dominguez,DF,celta,barcelona,1,45,0,0,0.0,0.0,0,0,0,16,87.5,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,2,0,0,0,7,24.0,4.0,0,0,0,0.0
Unai Núñez,DF,celta,barcelona,0,45,0,0,0.0,0.0,0,0,0,16,68.8,0,0,0.0,0.0,0.0,5,1,1,0,0,2,1,1,4,0,0,0,7,34.0,10.0,0,2,2,50.0
Carl Starfelt,DF,celta,barcelona,1,90,0,0,0.0,0.0,1,1,0,24,83.3,0,0,0.0,0.0,0.0,2,1,2,0,1,3,3,0,8,0,0,0,10,46.0,10.0,0,1,2,33.3
Óscar Mingueza,DF,celta,barcelona,1,84,0,1,0.1,0.1,1,0,1,40,75.0,0,0,0.0,0.0,0.0,8,3,2,0,0,0,0,0,3,0,0,0,22,105.0,80.0,2,1,0,100.0
Kevin Vázquez,DF,celta,barcelona,0,6,0,0,0.0,0.0,0,0,0,8,87.5,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3,15.0,2.0,0,0,0,0.0
Vicente Guaita,PT,celta,barcelona,1,90,0,0,0.0,0.0,0,0,0,29,41.4,0,0,2.0,75.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,15,72.0,44.0,0,0,0,0.0
